"col0","col1"
"{ activ ...  true }","This is a potential data sink (argument to 'query')."
"{ activ ...  true }","This is a potential data sink (argument to 'query')."
"{ query, variables }","This is a potential data sink (argument to 'query')."
"getOper ... ) ?? ''","This is a potential data sink (argument to 'query')."
"getOper ... ) ?? ''","This is a potential data sink (argument to 'query')."
"getOper ... ) ?? ''","This is a potential data sink (argument to 'query')."
"getOper ... ) ?? ''","This is a potential data sink (argument to 'query')."
"getOper ... ) ?? ''","This is a potential data sink (argument to 'query')."
"'FindManyActivities'","This is a potential data sink (argument to 'query')."
"'FindMa ... vities'","This is a potential data sink (argument to 'query')."
"'FindOn ... rEvent'","This is a potential data sink (argument to 'query')."
"'FindOn ... rEvent'","This is a potential data sink (argument to 'query')."
"'FindOneMessage'","This is a potential data sink (argument to 'query')."
"'FindOneMessage'","This is a potential data sink (argument to 'query')."
"'Search'","This is a potential data sink (argument to 'query')."
"{\n      ...       }","This is a potential data sink (argument to 'query')."
"{\n      ...       }","This is a potential data sink (argument to 'query')."
"{\n      ... ,\n    }","This is a potential data sink (argument to 'query')."
"{ query ... _USER }","This is a potential data sink (argument to 'query')."
"{\n      ... ,\n    }","This is a potential data sink (argument to 'query')."
"{\n      ...       }","This is a potential data sink (argument to 'query')."
"{\n      ... ,\n    }","This is a potential data sink (argument to 'query')."
"{\n      ...       }","This is a potential data sink (argument to 'query')."
"'FindMa ... counts'","This is a potential data sink (argument to 'query')."
"getOper ... ) ?? ''","This is a potential data sink (argument to 'query')."
"getOper ... ) ?? ''","This is a potential data sink (argument to 'query')."
"getOper ... ) ?? ''","This is a potential data sink (argument to 'query')."
"getOper ... ) ?? ''","This is a potential data sink (argument to 'query')."
"getOper ... ) ?? ''","This is a potential data sink (argument to 'query')."
"'FindManyPeople'","This is a potential data sink (argument to 'query')."
"'FindOnePerson'","This is a potential data sink (argument to 'query')."
"'FindOn ... Member'","This is a potential data sink (argument to 'query')."
"getOper ... ) ?? ''","This is a potential data sink (argument to 'query')."
"getOper ... ) ?? ''","This is a potential data sink (argument to 'query')."
"getOper ... ) ?? ''","This is a potential data sink (argument to 'query')."
"getOper ... ) ?? ''","This is a potential data sink (argument to 'query')."
"getOper ... ) ?? ''","This is a potential data sink (argument to 'query')."
"getOper ... ) ?? ''","This is a potential data sink (argument to 'query')."
"getOper ... ) ?? ''","This is a potential data sink (argument to 'query')."
"'FindMa ... counts'","This is a potential data sink (argument to 'query')."
"'FindMa ... counts'","This is a potential data sink (argument to 'query')."
"'FindMa ... annels'","This is a potential data sink (argument to 'query')."
"'FindMa ... annels'","This is a potential data sink (argument to 'query')."
"'FindOneWebhook'","This is a potential data sink (argument to 'query')."
"'FindOneApiKey'","This is a potential data sink (argument to 'query')."
"getOper ... ) ?? ''","This is a potential data sink (argument to 'query')."
"'GetOne ... nction'","This is a potential data sink (argument to 'query')."
"'IntrospectionQuery'","This is a potential data sink (argument to 'query')."
"getOper ... ) ?? ''","This is a potential data sink (argument to 'query')."
"getOper ... ) ?? ''","This is a potential data sink (argument to 'query')."
"getOper ... ) ?? ''","This is a potential data sink (argument to 'query')."
"getOper ... ) ?? ''","This is a potential data sink (argument to 'query')."
"'SearchPeople'","This is a potential data sink (argument to 'query')."
"'SearchCompanies'","This is a potential data sink (argument to 'query')."
"'Search ... nities'","This is a potential data sink (argument to 'query')."
"'Search'","This is a potential data sink (argument to 'query')."
"'FindManyViews'","This is a potential data sink (argument to 'query')."
"'Search ... embers'","This is a potential data sink (argument to 'query')."
"'FindManyViewFields'","This is a potential data sink (argument to 'query')."
"'FindManyCompanies'","This is a potential data sink (argument to 'query')."
"'FindDu ... ompany'","This is a potential data sink (argument to 'query')."
"'FindManyPeople'","This is a potential data sink (argument to 'query')."
"'FindManyNotes'","This is a potential data sink (argument to 'query')."
"'FindManyTasks'","This is a potential data sink (argument to 'query')."
"'FindMa ... argets'","This is a potential data sink (argument to 'query')."
"'FindMa ... olders'","This is a potential data sink (argument to 'query')."
"'FindManyFavorites'","This is a potential data sink (argument to 'query')."
"'FindMa ... nities'","This is a potential data sink (argument to 'query')."
"'FindMa ... embers'","This is a potential data sink (argument to 'query')."
"'GetOne ... ection'","This is a potential data sink (argument to 'query')."
"'GetMan ... Tables'","This is a potential data sink (argument to 'query')."
"'FindOnePerson'","This is a potential data sink (argument to 'query')."
"'FindManyWorkflows'","This is a potential data sink (argument to 'query')."
"'FindOneWorkflow'","This is a potential data sink (argument to 'query')."
"'FindOneWorkflowRun'","This is a potential data sink (argument to 'query')."
"'FindMa ... rsions'","This is a potential data sink (argument to 'query')."
"getOper ... ) ?? ''","This is a potential data sink (argument to 'query')."
"query","This is a potential data sink (argument to 'query')."
"`SELECT ... e = $1`","This is a potential data sink (argument to 'query')."
"{\n    q ... N',\n  }","This is a potential data sink (argument to 'query')."
"{\n      ...       }","This is a potential data sink (argument to 'query')."
"`ALTER  ... ::text`","This is a potential data sink (argument to 'query')."
"`ALTER  ... EFAULT`","This is a potential data sink (argument to 'query')."
